ENST00000263100.8	A1BG	NM_130786.4
ENST00000355426.8	EFEMP1	NM_001039348.3
ENST00000307998.11	EFEMP2	NM_016938.5
ENST00000295824.14	EFHB	NM_144715.4
ENST00000371068.11	EFHC1	NM_018100.4
ENST00000420999.2	EFHC2	NM_025184.4
ENST00000264059.8	EFHD1	NM_025202.4
ENST00000375980.9	EFHD2	NM_024329.6
ENST00000268206.12	EFL1	NM_024580.6
ENST00000368407.8	EFNA1	NM_004428.3
ENST00000215368.4	EFNA2	NM_001405.4
ENST00000368408.4	EFNA3	NM_004952.5
ENST00000368409.8	EFNA4	NM_005227.3
ENST00000333274.11	EFNA5	NM_001962.3
ENST00000204961.5	EFNB1	NM_004429.5
ENST00000646441.1	EFNB2	NM_004093.4
ENST00000226091.3	EFNB3	NM_001406.4
ENST00000254624.10	EFR3A	NM_015137.6
ENST00000403714.8	EFR3B	NM_014971.2
ENST00000216733.8	EFS	NM_005864.4
ENST00000426333.7	EFTUD2	NM_004247.4
ENST00000265171.10	EGF	NM_001963.6
ENST00000361306.6	EGFL6	NM_015507.4
ENST00000308874.12	EGFL7	NM_016215.5
ENST00000333845.11	EGFL8	NM_030652.4
ENST00000322350.10	EGFLAM	NM_152403.4
ENST00000275493.7	EGFR	NM_005228.5
ENST00000366641.4	EGLN1	NM_022051.3
ENST00000303961.9	EGLN2	NM_080732.4
ENST00000250457.9	EGLN3	NM_022073.4
ENST00000239938.5	EGR1	NM_001964.3
ENST00000242480.4	EGR2	NM_000399.5
ENST00000317216.3	EGR3	NM_004430.3
ENST00000436467.4	EGR4	NM_001965.4
ENST00000431489.6	EHBP1	NM_001142616.3
ENST00000309295.9	EHBP1L1	NM_001099409.3
ENST00000320631.8	EHD1	NM_006795.4
ENST00000263277.8	EHD2	NM_014601.4
ENST00000322054.10	EHD3	NM_014600.3
ENST00000220325.9	EHD4	NM_139265.4
ENST00000257831.8	EHF	NM_012153.6
ENST00000231887.8	EHHADH	NM_001966.4
ENST00000460843.6	EHMT1	NM_024757.5
ENST00000278903.11	EI24	NM_004879.5
ENST00000530028.3	EID1	NM_014335.3
ENST00000390658.4	EID2	NM_153232.4
ENST00000326282.5	EID2B	NM_152361.3
ENST00000527879.2	EID3	NM_001008394.3
ENST00000469257.2	EIF1	NM_005801.4
ENST00000533544.6	EIF1AD	NM_001242481.2
ENST00000379607.10	EIF1AX	NM_001412.4
ENST00000361365.7	EIF1AY	NM_004681.4
ENST00000232905.4	EIF1B	NM_005875.3
ENST00000460851.6	EIF2A	NM_032025.5
ENST00000199389.11	EIF2AK1	NM_014413.4
ENST00000233057.9	EIF2AK2	NM_001135651.3
ENST00000303236.9	EIF2AK3	NM_004836.7
ENST00000263791.10	EIF2AK4	NM_001013703.4
ENST00000424014.7	EIF2B1	NM_001414.4
ENST00000266126.10	EIF2B2	NM_014239.4
ENST00000360403.7	EIF2B3	NM_020365.5
ENST00000347454.9	EIF2B4	NM_001034116.2
ENST00000648915.2	EIF2B5	NM_003907.3
ENST00000271764.7	EIF2D	NM_006893.3
ENST00000256383.11	EIF2S1	NM_004094.5
ENST00000374980.3	EIF2S2	NM_003908.5
ENST00000253039.9	EIF2S3	NM_001415.4
ENST00000369144.8	EIF3A	NM_003750.4
ENST00000360876.9	EIF3B	NM_001037283.2
ENST00000331666.11	EIF3C	NM_003752.5
ENST00000380876.5	EIF3CL	NM_001317857.2
ENST00000216190.13	EIF3D	NM_003753.4
ENST00000220849.10	EIF3E	NM_001568.3
ENST00000651655.1	EIF3F	NM_003754.3
ENST00000253108.9	EIF3G	NM_003755.5
ENST00000521861.6	EIF3H	NM_003756.3
ENST00000261868.10	EIF3J	NM_003758.4
ENST00000248342.9	EIF3K	NM_013234.4
ENST00000652021.1	EIF3L	NM_016091.4
ENST00000531120.6	EIF3M	NM_006360.6
ENST00000293831.13	EIF4A1	NM_001416.4
ENST00000323963.10	EIF4A2	NM_001967.4
ENST00000649764.2	EIF4A3	NM_014740.4
ENST00000262056.14	EIF4B	NM_001417.7
ENST00000450253.7	EIF4E	NM_001968.5
ENST00000318682.11	EIF4E1B	NM_001099408.2
ENST00000258416.8	EIF4E2	NM_004846.4
ENST00000425534.8	EIF4E3	NM_001134651.2
ENST00000338825.5	EIF4EBP1	NM_004095.4
ENST00000373218.5	EIF4EBP2	NM_004096.5
ENST00000310331.3	EIF4EBP3	NM_003732.3
ENST00000330125.10	EIF4ENIF1	NM_019843.4
ENST00000346169.7	EIF4G1	NM_198241.3
ENST00000339995.11	EIF4G2	NM_001418.4
ENST00000265753.13	EIF4H	NM_022170.2
ENST00000216554.8	EIF5	NM_001969.5
ENST00000336458.13	EIF5A	NM_001970.5
ENST00000295822.7	EIF5A2	NM_020390.6
ENST00000520547.4	EIF5AL1	NM_001099692.2
ENST00000289371.11	EIF5B	NM_015904.4
ENST00000374450.8	EIF6	NM_002212.4
ENST00000382125.9	EIPR1	NM_003310.5
ENST00000269466.8	ELAC1	NM_018696.3
ENST00000338034.9	ELAC2	NM_018127.7
ENST00000263621.2	ELANE	NM_001972.4
ENST00000369939.8	ELAPOR1	NM_020775.5
ENST00000450689.7	ELAPOR2	NM_001142749.3
ENST00000407627.7	ELAVL1	NM_001419.3
ENST00000397312.7	ELAVL2	NM_004432.5
ENST00000359227.8	ELAVL3	NM_001420.4
ENST00000371824.7	ELAVL4	NM_001144774.3
ENST00000239882.7	ELF1	NM_172373.4
ENST00000367284.10	ELF3	NM_004433.5
ENST00000308167.10	ELF4	NM_001421.4
ENST00000257832.7	ELF5	NM_001422.4
ENST00000402918.7	ELFN2	NM_052906.5
ENST00000228741.8	ELK3	NM_005230.4
ENST00000357992.9	ELK4	NM_001973.4
ENST00000262809.9	ELL	NM_006532.4
ENST00000237853.9	ELL2	NM_012081.6
ENST00000319359.8	ELL3	NM_025165.3
ENST00000310758.9	ELMO1	NM_014800.11
ENST00000290246.11	ELMO2	NM_133171.5
ENST00000393997.8	ELMO3	NM_024712.5
ENST00000265840.12	ELMOD1	NM_018712.4
ENST00000323570.8	ELMOD2	NM_153702.4
ENST00000409013.8	ELMOD3	NM_001135022.2
ENST00000252034.12	ELN	NM_000501.4
ENST00000409906.9	ELOB	NM_007108.4
ENST00000520242.6	ELOC	NM_005648.4
ENST00000372458.8	ELOVL1	NM_022821.4
ENST00000354666.4	ELOVL2	NM_017770.4
ENST00000370005.4	ELOVL3	NM_152310.3
ENST00000369816.5	ELOVL4	NM_022726.4
ENST00000304434.11	ELOVL5	NM_021814.5
ENST00000302274.8	ELOVL6	NM_024090.3
ENST00000508821.6	ELOVL7	NM_024930.3
ENST00000374647.10	ELP1	NM_003640.5
ENST00000358232.11	ELP2	NM_018255.4
ENST00000256398.13	ELP3	NM_018091.6
ENST00000640961.2	ELP4	NM_019040.5
ENST00000296149.9	ELP6	NM_001031703.3
ENST00000339841.7	ELSPBP1	NM_022142.5
ENST00000303221.10	EMB	NM_198449.3
ENST00000477853.6	EMC1	NM_015047.3
ENST00000334976.11	EMC10	NM_206538.4
ENST00000220853.8	EMC2	NM_014673.5
ENST00000267750.9	EMC4	NM_016454.4
ENST00000248378.6	EMC6	NM_031298.4
ENST00000256545.9	EMC7	NM_020154.3
ENST00000253457.8	EMC8	NM_006067.5
ENST00000216799.9	EMC9	NM_016049.4
ENST00000296420.9	EMCN	NM_016242.4
ENST00000369842.9	EMD	NM_000117.3
ENST00000338165.9	EME1	NM_152463.4
ENST00000599672.6	EMG1	NM_006331.8
ENST00000334018.11	EMID1	NM_133455.4
ENST00000380320.9	EMILIN1	NM_007046.4
ENST00000254528.4	EMILIN2	NM_032048.3
ENST00000332312.4	EMILIN3	NM_052846.2
ENST00000262233.11	EML1	NM_004434.3
ENST00000245925.8	EML2	NM_012155.4
ENST00000394773.7	EML3	NM_153265.3
ENST00000318522.10	EML4	NM_019063.5
ENST00000256951.10	EMP1	NM_001423.3
ENST00000359543.8	EMP2	NM_001424.6
ENST00000270221.11	EMP3	NM_001425.3
ENST00000258106.11	EMX1	NM_004097.3
ENST00000553456.5	EMX2	NM_004098.4
ENST00000295206.7	EN1	NM_001426.4
ENST00000297375.4	EN2	NM_001427.4
ENST00000396073.4	ENAM	NM_031889.3
ENST00000302351.9	ENC1	NM_003633.4
ENST00000278505.5	ENDOD1	NM_015036.3
ENST00000372642.5	ENDOG	NM_004435.2
ENST00000422538.8	ENDOU	NM_001172439.2
ENST00000518137.6	ENDOV	NM_173627.5
ENST00000373203.9	ENG	NM_001114753.3
ENST00000579016.6	ENGASE	NM_001042573.3
ENST00000399775.3	ENHO	NM_198573.3
ENST00000243878.9	ENKD1	NM_032140.3
ENST00000331161.9	ENKUR	NM_145010.4
ENST00000234590.10	ENO1	NM_001428.5
ENST00000229277.6	ENO2	NM_001975.3
ENST00000519602.6	ENO3	NM_053013.4
ENST00000341276.11	ENO4	NM_001242699.2
ENST00000273920.8	ENOPH1	NM_021204.5
ENST00000647584.2	ENOSF1	NM_017512.7
ENST00000265162.10	ENPEP	NM_001977.4
ENST00000647893.1	ENPP1	NM_006208.3
ENST00000075322.11	ENPP2	NM_001040092.3
ENST00000357639.8	ENPP3	NM_005021.5
ENST00000321037.5	ENPP4	NM_014936.5
ENST00000371383.7	ENPP5	NM_001290072.2
ENST00000296741.7	ENPP6	NM_153343.4
ENST00000328313.10	ENPP7	NM_178543.5
ENST00000369014.10	ENSA	NM_004436.4
ENST00000325157.7	ENTHD1	NM_152512.4
ENST00000371205.5	ENTPD1	NM_001776.6
ENST00000355097.7	ENTPD2	NM_203468.3
ENST00000301825.8	ENTPD3	NM_001248.4
ENST00000358689.9	ENTPD4	NM_004901.5
ENST00000334696.11	ENTPD5	NM_001249.5
ENST00000376652.9	ENTPD6	NM_001247.5
ENST00000370489.5	ENTPD7	NM_020354.5
ENST00000371506.7	ENTPD8	NM_001033113.2
ENST00000357365.8	ENTR1	NM_001039707.2
ENST00000521688.6	ENY2	NM_020189.6
ENST00000383701.8	EOGT	NM_001278689.2
ENST00000393985.8	EOLA1	NM_001171907.3
ENST00000370406.8	EOLA2	NM_001013845.2
ENST00000449599.4	EOMES	NM_001278182.2
ENST00000263253.9	EP300	NM_001429.4
ENST00000389561.7	EP400	NM_015409.5
ENST00000263734.5	EPAS1	NM_001430.5
ENST00000343067.9	EPB41	NM_001376013.1
ENST00000338074.7	EPB41L1	NM_012156.2
ENST00000337057.8	EPB41L2	NM_001431.4
ENST00000341928.7	EPB41L3	NM_012307.5
ENST00000261486.6	EPB41L4A	NM_022140.5
ENST00000374566.8	EPB41L4B	NM_019114.5
ENST00000263713.10	EPB41L5	NM_020909.4
ENST00000441366.7	EPB42	NM_001114134.2
ENST00000319778.11	EPC1	NM_001272004.3
ENST00000258484.11	EPC2	NM_015630.4
ENST00000263735.9	EPCAM	NM_002354.3
ENST00000199448.9	EPDR1	NM_017549.5
ENST00000282041.11	EPG5	NM_020964.3
ENST00000413830.6	EPGN	NM_001270989.2
ENST00000275815.4	EPHA1	NM_005232.5
ENST00000373048.9	EPHA10	NM_001099439.2
ENST00000358432.8	EPHA2	NM_004431.5
ENST00000336596.7	EPHA3	NM_005233.6
ENST00000281821.7	EPHA4	NM_004438.5
ENST00000613740.5	EPHA5	NM_001281766.3
ENST00000369303.9	EPHA7	NM_004440.4
ENST00000166244.8	EPHA8	NM_020526.5
ENST00000398015.8	EPHB1	NM_004441.5
ENST00000374630.8	EPHB2	NM_017449.5
ENST00000330394.3	EPHB3	NM_004443.4
ENST00000358173.8	EPHB4	NM_004444.5
ENST00000652003.1	EPHB6	NM_004445.6
ENST00000272167.10	EPHX1	NM_001136018.4
ENST00000521400.6	EPHX2	NM_001979.6
ENST00000221730.8	EPHX3	NM_024794.3
ENST00000370383.5	EPHX4	NM_173567.5
ENST00000367519.9	EPM2A	NM_005670.4
ENST00000322716.8	EPM2AIP1	NM_014805.4
ENST00000270460.11	EPN1	NM_001130072.2
ENST00000268933.8	EPN3	NM_017957.3
ENST00000252723.3	EPO	NM_000799.4
ENST00000621654.2	EPOP	NM_001130677.2
ENST00000222139.11	EPOR	NM_000121.4
ENST00000354280.9	EPPIN	NM_020398.4
ENST00000615648.2	EPPK1	NM_031308.4
ENST00000366923.8	EPRS1	NM_004446.3
ENST00000371733.8	EPS15	NM_001981.3
ENST00000455140.7	EPS15L1	NM_001258374.3
ENST00000281172.10	EPS8	NM_004447.6
ENST00000201647.11	EPS8L1	NM_133180.3
ENST00000318562.13	EPS8L2	NM_022772.4
ENST00000361965.9	EPS8L3	NM_133181.4
ENST00000313624.12	EPSTI1	NM_033255.5
ENST00000225371.6	EPX	NM_000502.6
ENST00000261172.8	EPYC	NM_004950.5
ENST00000380032.8	EQTN	NM_020641.3
ENST00000254928.10	ERAL1	NM_005702.4
ENST00000443439.7	ERAP1	NM_001040458.3
ENST00000437043.8	ERAP2	NM_022350.5
ENST00000636362.1	ERAS	NM_181532.3
ENST00000269571.10	ERBB2	NM_004448.4
ENST00000267101.8	ERBB3	NM_001982.4
ENST00000342788.9	ERBB4	NM_005235.3
ENST00000284037.10	ERBIN	NM_001253697.2
ENST00000360905.9	ERC1	NM_178040.4
ENST00000288221.11	ERC2	NM_015576.3
ENST00000300853.8	ERCC1	NM_001983.4
ENST00000391945.10	ERCC2	NM_000400.4
ENST00000285398.7	ERCC3	NM_000122.2
ENST00000311895.8	ERCC4	NM_005236.3
ENST00000652225.2	ERCC5	NM_000123.4
ENST00000355832.10	ERCC6	NM_000124.4
ENST00000334463.4	ERCC6L	NM_017669.4
ENST00000653738.2	ERCC6L2	NM_020207.7
ENST00000676185.1	ERCC8	NM_000082.4
ENST00000244869.3	EREG	NM_001432.3
ENST00000222329.9	ERF	NM_006494.4
ENST00000546354.6	ERFE	NM_001291832.2
ENST00000288319.12	ERG	NM_182918.4
ENST00000256319.7	ERG28	NM_007176.4
ENST00000393784.8	ERGIC1	NM_001031711.3
ENST00000360150.9	ERGIC2	NM_016570.3
ENST00000348547.7	ERGIC3	NM_015966.3
ENST00000557016.6	ERH	NM_004450.3
ENST00000250263.8	ERI1	NM_153332.4
ENST00000357967.9	ERI2	NM_001142725.2
ENST00000372257.7	ERI3	NM_024066.3
ENST00000262109.8	ERICH1	NM_207332.3
ENST00000326665.10	ERICH3	NM_001002912.5
ENST00000378187.3	ERICH4	NM_001130514.3
ENST00000318528.8	ERICH5	NM_173549.3
ENST00000295910.11	ERICH6	NM_152394.5
ENST00000298738.3	ERICH6B	NM_182542.3
ENST00000185150.9	ERLEC1	NM_015701.5
ENST00000421367.7	ERLIN1	NM_006459.4
ENST00000519638.3	ERLIN2	NM_007175.8
ENST00000372517.8	ERMAP	NM_001017922.2
ENST00000366773.8	ERMARD	NM_018341.3
ENST00000410096.6	ERMN	NM_020711.3
ENST00000339450.10	ERMP1	NM_024896.3
ENST00000433197.4	ERN1	NM_001433.5
ENST00000256797.9	ERN2	NM_033266.4
ENST00000395686.8	ERO1A	NM_014584.3
ENST00000354619.10	ERO1B	NM_019891.4
ENST00000266397.7	ERP27	NM_152321.4
ENST00000261735.4	ERP29	NM_006817.4
ENST00000262455.7	ERP44	NM_015051.3
ENST00000377482.10	ERRFI1	NM_018948.4
ENST00000394323.3	ERV3-1	NM_001007253.4
ENST00000472091.2	ERVFRD-1	NM_207582.3
ENST00000443173.6	ERVMER34-1	NM_001242690.2
ENST00000601417.3	ERVV-2	NM_001191055.2
ENST00000603053.2	ERVW-1	NM_001130925.2
ENST00000278927.10	ESAM	NM_138961.3
ENST00000269214.10	ESCO1	NM_052911.3
ENST00000305188.13	ESCO2	NM_001017420.3
ENST00000378720.8	ESD	NM_001984.2
ENST00000617257.2	ESF1	NM_001276380.2
ENST00000381405.5	ESM1	NM_007036.5
ENST00000257934.9	ESPL1	NM_012291.5
ENST00000645284.1	ESPN	NM_031475.3
ENST00000343063.8	ESPNL	NM_194312.4
ENST00000206249.8	ESR1	NM_000125.4
ENST00000341099.6	ESR2	NM_001437.3
ENST00000433389.8	ESRP1	NM_017697.4
ENST00000473183.7	ESRP2	NM_024939.3
ENST00000000442.11	ESRRA	NM_004451.5
ENST00000644823.1	ESRRB	NM_001379180.1
ENST00000408911.8	ESRRG	NM_001438.4
ENST00000252137.11	ESS2	NM_022719.3
ENST00000372588.4	ESX1	NM_153448.4
ENST00000394048.10	ESYT1	NM_015292.3
ENST00000275418.13	ESYT2	NM_001367773.1
ENST00000389567.9	ESYT3	NM_031913.5
ENST00000272342.6	ETAA1	NM_019002.4
ENST00000427686.3	ETDA	NM_001355522.1
ENST00000423661.1	ETDB	NM_001355519.1
ENST00000635820.1	ETDC	NM_001358449.1
ENST00000360541.10	ETF1	NM_004730.4
ENST00000557943.6	ETFA	NM_000126.4
ENST00000309244.9	ETFB	NM_001985.3
ENST00000357721.3	ETFBKMT	NM_001135863.2
ENST00000511912.6	ETFDH	NM_004453.4
ENST00000381356.9	ETFRF1	NM_001001660.3
ENST00000292147.7	ETHE1	NM_014297.5
ENST00000266517.9	ETNK1	NM_018638.5
ENST00000367202.9	ETNK2	NM_018208.4
ENST00000296486.8	ETNPPL	NM_031279.4
ENST00000392668.8	ETS1	NM_001143820.2
ENST00000360938.8	ETS2	NM_005239.6
ENST00000430479.6	ETV1	NM_004956.5
ENST00000402764.6	ETV2	NM_014209.4
ENST00000368192.9	ETV3	NM_001145312.3
ENST00000454449.3	ETV3L	NM_001004341.2
ENST00000319349.10	ETV4	NM_001079675.5
ENST00000306376.10	ETV5	NM_004454.3
ENST00000396373.9	ETV6	NM_001987.5
ENST00000340181.9	ETV7	NM_016135.4
ENST00000393913.8	EVA1A	NM_001135032.2
ENST00000300255.7	EVA1C	NM_058187.5
ENST00000264956.11	EVC	NM_153717.3
ENST00000344408.10	EVC2	NM_147127.5
ENST00000462804.3	EVI2A	NM_014210.4
ENST00000330927.5	EVI2B	NM_006495.4
ENST00000392920.8	EVL	NM_016337.3
ENST00000301607.8	EVPL	NM_001988.4
ENST00000399134.5	EVPLL	NM_001145127.2
ENST00000496902.7	EVX1	NM_001989.5
ENST00000397938.7	EWSR1	NM_005243.4
ENST00000458580.7	EXD1	NM_001286441.2
ENST00000340951.9	EXD3	NM_017820.5
ENST00000366548.8	EXO1	NM_130398.4
ENST00000381295.7	EXOC1	NM_001024924.2
ENST00000636125.2	EXOC1L	NM_001351574.3
ENST00000230449.9	EXOC2	NM_018303.6
ENST00000512944.6	EXOC3	NM_007277.5
ENST00000314586.11	EXOC3L1	NM_178516.4
ENST00000413988.3	EXOC3L2	NM_001382422.1
ENST00000253861.5	EXOC4	NM_021807.4
ENST00000621441.5	EXOC5	NM_006544.4
ENST00000260762.10	EXOC6	NM_019053.6
ENST00000272427.11	EXOC6B	NM_015189.3
ENST00000589210.6	EXOC7	NM_001013839.4
ENST00000366645.1	EXOC8	NM_175876.5
ENST00000287675.10	EXOG	NM_005107.4
ENST00000370902.8	EXOSC1	NM_016046.5
ENST00000376936.9	EXOSC10	NM_001001998.3
ENST00000372358.10	EXOSC2	NM_014285.7
ENST00000327304.10	EXOSC3	NM_016042.4
ENST00000316052.6	EXOSC4	NM_019037.3
ENST00000221233.9	EXOSC5	NM_020158.4
ENST00000435634.3	EXOSC6	NM_058219.3
ENST00000265564.8	EXOSC7	NM_015004.4
ENST00000389704.4	EXOSC8	NM_181503.3
ENST00000243498.10	EXOSC9	NM_005033.3
ENST00000265843.9	EXPH5	NM_015065.3
ENST00000378204.7	EXT1	NM_000127.3
ENST00000533608.7	EXT2	NM_207122.2
ENST00000374280.4	EXTL1	NM_004455.3
ENST00000370114.8	EXTL2	NM_001033025.3
ENST00000220562.9	EXTL3	NM_001440.4
ENST00000340726.8	EYA1	NM_000503.6
ENST00000327619.10	EYA2	NM_005244.5
ENST00000373871.8	EYA3	NM_001990.4
ENST00000355286.12	EYA4	NM_004100.5
ENST00000503581.6	EYS	NM_001142800.2
ENST00000428826.7	EZH1	NM_001991.5
ENST00000320356.7	EZH2	NM_004456.5
ENST00000342995.4	EZHIP	NM_203407.3
ENST00000367075.4	EZR	NM_001111077.2
ENST00000375559.8	F10	NM_000504.4
ENST00000403665.7	F11	NM_000128.4
ENST00000368026.11	F11R	NM_016946.6
ENST00000253496.4	F12	NM_000505.4
ENST00000264870.8	F13A1	NM_000129.4
ENST00000367412.2	F13B	NM_001994.3
ENST00000311907.10	F2	NM_000506.5
ENST00000319211.5	F2R	NM_001992.5
ENST00000296677.5	F2RL1	NM_005242.6
ENST00000296641.5	F2RL2	NM_004101.4
ENST00000248076.4	F2RL3	NM_003950.4
ENST00000334047.12	F3	NM_001993.5
ENST00000367797.9	F5	NM_000130.5
ENST00000346342.8	F7	NM_019616.4
ENST00000360256.9	F8	NM_000132.4
ENST00000369505.4	F8A2	NM_001007523.1
ENST00000622749.2	F8A3	NM_001007524.2
ENST00000218099.7	F9	NM_000133.4
ENST00000219368.8	FA2H	NM_024306.5
ENST00000243167.9	FAAH	NM_001441.3
ENST00000374900.5	FAAH2	NM_174912.4
ENST00000327787.13	FAAP100	NM_025161.6
ENST00000378546.9	FAAP20	NM_182533.4
ENST00000588258.6	FAAP24	NM_152266.5
ENST00000295834.8	FABP1	NM_001443.3
ENST00000274024.4	FABP2	NM_000134.4
ENST00000373713.7	FABP3	NM_004102.5
ENST00000256104.5	FABP4	NM_001442.3
ENST00000297258.11	FABP5	NM_001444.3
ENST00000402432.4	FABP6	NM_001445.3
ENST00000368444.8	FABP7	NM_001446.5
ENST00000379071.4	FABP9	NM_001080526.2
ENST00000301838.5	FADD	NM_003824.4
ENST00000350997.12	FADS1	NM_013402.7
ENST00000278840.9	FADS2	NM_004265.4
ENST00000278829.7	FADS3	NM_021727.5
ENST00000612771.5	FADS6	NM_178128.6
ENST00000396153.7	FAF1	NM_007051.3
ENST00000261942.7	FAF2	NM_014613.3
ENST00000561421.6	FAH	NM_000137.4
ENST00000233379.9	FAHD2A	NM_016044.3
ENST00000414820.6	FAHD2B	NM_001320848.2
ENST00000320634.8	FAIM2	NM_012306.4
ENST00000373095.6	FAM102A	NM_001035254.3
ENST00000370035.8	FAM102B	NM_001010883.3
ENST00000360997.7	FAM107A	NM_001076778.3
ENST00000181796.7	FAM107B	NM_031453.4
ENST00000381941.8	FAM110A	NM_001042353.3
ENST00000327669.5	FAM110C	NM_001077710.3
ENST00000374268.5	FAM110D	NM_024869.3
ENST00000675163.1	FAM111A	NM_001312909.2
ENST00000343597.4	FAM111B	NM_198947.4
ENST00000358869.5	FAM114A1	NM_138389.4
ENST00000351797.9	FAM114A2	NM_018691.4
ENST00000240364.7	FAM117A	NM_030802.4
ENST00000392238.3	FAM117B	NM_173511.4
ENST00000441876.7	FAM118A	NM_017911.4
ENST00000533050.6	FAM118B	NM_024556.4
ENST00000277165.11	FAM120A	NM_014612.5
ENST00000375412.11	FAM120AOS	NM_198841.4
ENST00000476287.4	FAM120B	NM_032448.3
ENST00000375180.7	FAM120C	NM_017848.6
ENST00000394264.7	FAM122A	NM_138333.5
ENST00000322475.13	FAM124A	NM_001242312.2
ENST00000409685.4	FAM124B	NM_001122779.2
ENST00000432176.7	FAM126A	NM_032581.4
ENST00000383847.7	FAM131A	NM_144635.5
ENST00000443739.7	FAM131B	NM_001031690.3
ENST00000375662.5	FAM131C	NM_182623.3
ENST00000445716.6	FAM133B	NM_152789.4
ENST00000418814.7	FAM135A	NM_001162529.3
ENST00000395297.6	FAM135B	NM_015912.4
ENST00000430566.6	FAM136A	NM_001329752.2
ENST00000264344.10	FAM13A	NM_014883.4
ENST00000618804.5	FAM13C	NM_198215.4
ENST00000242505.11	FAM149B1	NM_173348.2
ENST00000302250.7	FAM151A	NM_176782.3
ENST00000282226.5	FAM151B	NM_205548.3
ENST00000375915.4	FAM155A	NM_001080396.3
ENST00000252338.5	FAM155B	NM_015686.3
ENST00000416841.7	FAM156B	NM_001321178.2
ENST00000435205.6	FAM160A1	NM_001109977.3
ENST00000449352.7	FAM160A2	NM_001098794.2
ENST00000369248.9	FAM160B1	NM_020940.4
ENST00000289921.8	FAM160B2	NM_022749.7
ENST00000404929.6	FAM161A	NM_001201543.2
ENST00000286544.5	FAM161B	NM_152445.3
ENST00000477892.5	FAM162A	NM_014367.4
ENST00000368557.6	FAM162B	NM_001085480.3
ENST00000673969.1	FAM163B	NM_001080515.3
ENST00000344774.6	FAM166A	NM_001001710.3
ENST00000399742.7	FAM166B	NM_001164310.3
ENST00000329615.4	FAM166C	NM_001105519.3
ENST00000284486.9	FAM167A	NM_053279.3
ENST00000373582.4	FAM167B	NM_032648.3
ENST00000356467.5	FAM168A	NM_015159.3
ENST00000389915.4	FAM168B	NM_001009993.4
ENST00000311787.6	FAM170B	NM_001164484.2
ENST00000378116.9	FAM171A1	NM_001010924.2
ENST00000293443.12	FAM171A2	NM_198475.3
ENST00000304698.10	FAM171B	NM_177454.4
ENST00000395965.8	FAM172A	NM_032042.6
ENST00000312637.5	FAM174A	NM_198507.3
ENST00000327355.6	FAM174B	NM_207446.3
ENST00000409293.6	FAM174C	NM_017914.4
ENST00000280987.9	FAM177A1	NM_173607.5
ENST00000490605.3	FAM178B	NM_001122646.3
ENST00000338588.8	FAM180A	NM_205855.4
ENST00000538490.3	FAM180B	NM_001164379.3
ENST00000329203.5	FAM181B	NM_175885.4
ENST00000335282.5	FAM183A	NM_001101376.3
ENST00000338891.12	FAM184A	NM_024581.6
ENST00000265018.4	FAM184B	NM_015688.2
ENST00000413034.3	FAM185A	NM_001145268.2
ENST00000327337.6	FAM186A	NM_001145475.3
ENST00000257894.2	FAM186B	NM_032130.3
ENST00000361361.7	FAM189B	NM_006589.3
ENST00000637812.2	FAM193A	NM_001366318.2
ENST00000514747.6	FAM193B	NM_001190946.3
ENST00000493442.2	FAM199X	NM_207318.4
ENST00000449309.2	FAM200A	NM_145111.4
ENST00000422728.3	FAM200B	NM_001145191.2
ENST00000369183.9	FAM204A	NM_022063.3
ENST00000378788.4	FAM205A	NM_001141917.2
ENST00000340783.11	FAM205C	NM_001309427.2
ENST00000291634.11	FAM207A	NM_058190.4
ENST00000371328.5	FAM209A	NM_001012971.4
ENST00000371325.1	FAM209B	NM_001013646.4
ENST00000592554.2	FAM20A	NM_017565.4
ENST00000263733.5	FAM20B	NM_014864.4
ENST00000313766.6	FAM20C	NM_020223.4
ENST00000651643.1	FAM210A	NM_152352.4
ENST00000371384.4	FAM210B	NM_080821.3
ENST00000322813.10	FAM214B	NM_025182.4
ENST00000377673.10	FAM216A	NM_013300.3
ENST00000313851.3	FAM216B	NM_001318932.2
ENST00000274673.8	FAM217A	NM_173563.3
ENST00000360816.8	FAM217B	NM_022106.3
ENST00000651358.1	FAM219A	NM_001184940.2
ENST00000357635.10	FAM219B	NM_020447.5
ENST00000313324.9	FAM220A	NM_001037163.2
ENST00000344962.9	FAM221A	NM_199136.5
ENST00000423537.7	FAM221B	NM_001012446.4
ENST00000538780.2	FAM222A	NM_032829.3
ENST00000299338.11	FAM227B	NM_152647.3
ENST00000295150.8	FAM228A	NM_001040710.3
ENST00000615575.5	FAM228B	NM_001145710.2
ENST00000368656.7	FAM229B	NM_001033564.3
ENST00000399932.8	FAM234A	NM_032039.4
ENST00000197268.13	FAM234B	NM_020853.2
ENST00000611003.2	FAM236A	NM_001348070.2
ENST00000596535.3	FAM236B	NM_001348072.1
ENST00000636267.1	FAM236C	NM_001351111.1
ENST00000441223.4	FAM237A	NM_001102659.3
ENST00000640551.3	FAM240A	NM_001195442.2
ENST00000404031.6	FAM240C	NM_001382368.1
ENST00000309733.6	FAM241A	NM_152400.3
ENST00000373279.6	FAM241B	NM_145306.3
ENST00000410005.2	FAM243A	NM_001282537.2
ENST00000368894.2	FAM24A	NM_001029888.3
ENST00000368898.8	FAM24B	NM_152644.3
